record_id,source_type,supplier_tier,industry_sector,country,country_iso3,grid_emission_factor,renewable_energy_pct,energy_kwh_monthly,fuel_litres_monthly,production_qty_units,transport_mode,distance_km,shipment_weight_t,material_type,material_qty_kg,material_ef_kgco2e_kg,transport_ef_kgco2e_tonne_km,energy_co2e_kg,fuel_co2e_kg,material_co2e_kg,transport_co2e_kg,co2e_kg
1861,SYNTHETIC,3,Food Processing,China,CHN,0.581,11.95,839.68,0.0,3822.7,sea_bulk,1297.3,3.058,plastic_pet,4099.28,3.1,0.012,431.5532,0.0,12707.7719,47.607,12972.3864
354,SYNTHETIC,1,Semiconductor Fabrication,United Kingdom,GBR,0.207,56.57,12137.03,0.0,5379.7,road_electric,1191.2,4.304,copper,5956.12,3.17,0.021,1228.4053,0.0,18880.8971,107.6614,20923.3132
1334,SYNTHETIC,2,Agricultural Commodities,China,CHN,0.581,44.92,1021.02,473.52,1687.1,rail_freight,50.0,1.35,cotton_fabric,620.73,8.0,0.028,335.9096,1273.7556,4965.8285,1.8896,6632.4317
906,SYNTHETIC,2,Plastics Manufacturing,China,CHN,0.581,6.01,1870.99,2040.38,2734.5,rail_freight,2041.9,2.188,plastic_pet,2860.98,3.1,0.028,1024.0099,5488.6282,8869.0534,125.0686,15273.2973
1290,SYNTHETIC,2,Renewable Energy Components,South Africa,ZAF,0.89,28.2,1628.81,0.0,3175.0,rail_freight,3740.0,2.54,lithium_battery,6285.13,75.0,0.028,1050.0744,0.0,471384.4594,265.9851,463429.6162
1274,SYNTHETIC,2,Pharmaceutical Manufacturing,India,IND,0.7082,61.32,2867.24,0.0,5803.6,sea_bulk,1573.9,4.643,plastic_pet,3428.9,3.1,0.012,820.5099,0.0,10629.591,87.6899,10862.2152
939,SYNTHETIC,2,Food Processing,South Africa,ZAF,0.89,9.64,915.48,0.0,3817.2,sea_container,418.0,3.054,plastic_pet,7222.4,3.1,0.016,737.9813,0.0,22389.4326,20.4242,24135.714
1732,SYNTHETIC,3,Mining & Raw Materials,Mexico,MEX,0.42,10.63,3458.9,1969.18,6174.8,road_electric,6603.0,4.94,steel,7608.35,1.85,0.021,1305.6416,5297.093,14075.456,684.9771,22775.258
66,SYNTHETIC,1,Agricultural Commodities,Saudi Arabia,SAU,0.74,46.12,536.3,1348.08,3970.3,air_freight,2735.5,3.176,cotton_fabric,4257.67,8.0,0.602,218.7745,3626.3423,34061.3384,5230.6151,40279.5328
1324,SYNTHETIC,2,Semiconductor Fabrication,South Africa,ZAF,0.89,13.27,10305.74,0.0,6153.3,road_electric,2678.7,4.923,chemicals_general,6089.96,2.2,0.021,7982.3271,0.0,13397.9117,276.9094,21263.4278
57,SYNTHETIC,1,Semiconductor Fabrication,India,IND,0.7082,51.57,9198.71,0.0,2569.3,road_electric,694.2,2.055,copper,4649.24,3.17,0.021,3250.042,0.0,14738.0864,29.9663,16690.1177
1293,SYNTHETIC,2,Automotive Manufacturing,India,IND,0.7082,21.34,1653.33,487.8,2175.8,rail_freight,792.6,1.741,aluminium,2319.98,8.24,0.028,928.1033,1312.176,19116.6216,38.6296,20934.0073
1119,SYNTHETIC,2,Semiconductor Fabrication,South Africa,ZAF,0.89,12.67,9414.65,0.0,6000.0,air_freight,4393.1,4.8,copper,9208.77,3.17,0.602,7341.3246,0.0,29191.7868,12694.3389,49771.6562
