record_id,source_type,supplier_tier,industry_sector,country,country_iso3,grid_emission_factor,renewable_energy_pct,energy_kwh_monthly,fuel_litres_monthly,production_qty_units,transport_mode,distance_km,shipment_weight_t,material_type,material_qty_kg,material_ef_kgco2e_kg,transport_ef_kgco2e_tonne_km,energy_co2e_kg,fuel_co2e_kg,material_co2e_kg,transport_co2e_kg,co2e_kg
259,SYNTHETIC,1,Plastics Manufacturing,Mexico,MEX,0.42,30.55,1620.83,0.0,3783.6,rail_freight,1268.1,3.027,chemicals_general,3560.26,2.2,0.028,482.6878,0.0,7832.5666,107.4705,8083.0918
744,SYNTHETIC,2,Steel & Metals,South Africa,ZAF,0.89,,6982.83,71.59,8171.5,air_freight,55.6,6.537,copper,11662.91,3.17,0.602,3447.8689,192.5753,36971.4133,218.7264,39978.0167
1394,SYNTHETIC,2,Electronics Assembly,Brazil,BRA,0.08,30.67,458.33,0.0,4984.2,inland_waterway,4148.6,3.987,plastic_pet,3113.96,3.1,0.031,28.2328,0.0,9653.2693,512.7959,10080.9056
775,SYNTHETIC,2,Renewable Energy Components,India,IND,0.7082,28.87,3186.9,0.0,2620.6,air_freight,420.1,2.097,steel,3898.1,1.85,0.602,1623.7166,0.0,7211.4816,530.2262,9485.1277
651,SYNTHETIC,2,Logistics & Freight,United Kingdom,GBR,0.207,10.02,319.67,569.23,3755.8,inland_waterway,398.8,3.005,plastic_pp,3369.07,1.65,0.031,60.1806,1531.2386,5558.9711,37.1478,7441.8172
107,SYNTHETIC,1,Chemical Processing,India,IND,0.7082,10.25,5145.63,0.0,5547.9,rail_freight,1045.9,4.438,plastic_pp,6763.87,1.65,0.028,3281.1402,0.0,11160.3826,129.9753,14837.2369
1460,SYNTHETIC,3,Logistics & Freight,India,IND,0.7082,53.14,652.4,556.15,5338.4,sea_bulk,2318.1,4.271,cardboard,5675.26,0.89,0.012,223.4292,1496.0498,5050.9844,118.8013,6690.3024
472,SYNTHETIC,1,Chemical Processing,Turkey,TUR,0.445,29.32,4749.12,131.66,7394.5,air_freight,1359.0,5.916,glass,13855.33,0.85,0.602,1521.4955,354.1579,11777.0277,4839.4736,19046.9314
243,SYNTHETIC,1,Packaging Materials,Turkey,TUR,0.445,53.94,1196.74,0.0,4476.4,road_diesel,,3.581,plastic_pet,5107.03,3.1,0.1033,258.1932,0.0,15831.8074,1349.4533,18085.6494
373,SYNTHETIC,1,Agricultural Commodities,France,FRA,0.056,4.01,453.37,277.78,6103.3,road_diesel,5763.1,4.883,wood_timber,11966.21,0.46,0.1033,24.7334,747.2274,5504.4574,2906.7451,9250.6098
310,SYNTHETIC,1,Plastics Manufacturing,United States,USA,0.386,47.89,1565.43,687.74,6829.7,rail_freight,,5.464,chemicals_general,9956.65,2.2,0.028,329.8575,1850.0309,21904.6369,26.6287,24951.2339
1579,SYNTHETIC,3,Mining & Raw Materials,Germany,DEU,0.385,22.66,9192.72,422.08,5177.1,sea_bulk,4557.9,4.142,copper,8918.34,3.17,0.012,2778.7891,1135.3917,28271.1455,226.5269,32635.148
649,SYNTHETIC,2,Chemical Processing,Saudi Arabia,SAU,0.74,34.44,2917.24,1340.18,10175.1,inland_waterway,1950.9,8.14,plastic_pp,12291.91,1.65,0.031,1435.2791,3605.0721,20281.6564,492.2951,26092.8951
1458,SYNTHETIC,3,Steel & Metals,China,CHN,0.581,29.34,434.08,315.65,4835.7,air_freight,2592.9,3.869,aluminium,5634.24,8.24,0.602,180.7526,849.093,46426.1751,6038.4072,54136.0079
384,SYNTHETIC,1,Textiles & Apparel,France,FRA,0.056,34.63,1377.77,0.0,8075.0,rail_freight,1513.7,6.46,plastic_pet,7819.68,3.1,0.028,59.9788,0.0,24241.0233,273.7948,25075.3349
1753,SYNTHETIC,3,Plastics Manufacturing,Saudi Arabia,SAU,0.74,8.47,1967.16,0.0,3980.8,sea_container,14210.6,3.185,chemicals_general,3401.99,2.2,0.016,1335.7724,0.0,7484.3817,724.1002,9324.0267
1266,SYNTHETIC,2,Food Processing,France,FRA,0.056,52.55,200.21,0.0,6646.4,sea_container,191.2,5.317,plastic_pet,8978.54,3.1,0.016,7.4239,0.0,27833.4713,16.2637,26994.3127
248,SYNTHETIC,1,Semiconductor Fabrication,Germany,DEU,0.385,,11452.13,0.0,6479.5,sea_container,1824.3,5.184,aluminium,5851.72,8.24,0.016,2648.0309,0.0,48218.1847,151.3058,49121.0362
694,SYNTHETIC,2,Semiconductor Fabrication,India,IND,0.7082,21.27,8317.67,0.0,5450.2,inland_waterway,914.1,4.36,copper,4718.35,3.17,0.031,4673.0219,0.0,14957.1749,123.5498,20403.9729
1840,SYNTHETIC,3,Plastics Manufacturing,South Korea,KOR,0.435,24.17,1259.45,76.44,6692.1,road_diesel,6374.3,5.354,chemicals_general,8109.5,2.2,0.1033,421.5547,205.6357,17840.9059,3525.197,21214.6373
1630,SYNTHETIC,3,Textiles & Apparel,United Kingdom,GBR,0.207,62.37,1128.0,0.0,8017.2,rail_freight,4363.7,6.414,plastic_pet,10460.45,3.1,0.028,101.9252,0.0,32427.388,783.6561,31144.1342
1519,SYNTHETIC,3,Food Processing,France,FRA,0.056,,1227.96,0.0,2229.6,road_diesel,2427.5,1.784,plastic_pet,3723.19,3.1,0.1033,56.5267,0.0,11541.8897,447.2771,11994.6528
62,SYNTHETIC,1,Mining & Raw Materials,Germany,DEU,0.385,,2495.07,1173.98,5518.8,rail_freight,517.7,4.415,copper,7821.98,3.17,0.028,664.4836,3158.0035,24795.6765,63.9976,28025.4035
1384,SYNTHETIC,2,Textiles & Apparel,United Kingdom,GBR,0.207,22.47,883.47,0.0,6204.9,road_electric,5702.8,4.964,cotton_fabric,3355.9,8.0,0.021,145.7569,0.0,26847.2098,594.477,27823.3451
1919,SYNTHETIC,3,Chemical Processing,United States,USA,0.386,57.05,3700.03,0.0,5122.1,air_freight,2008.4,4.098,plastic_pp,7164.29,1.65,0.602,655.6352,0.0,11821.0711,4954.4513,16825.5983
1679,SYNTHETIC,3,Semiconductor Fabrication,Vietnam,VNM,0.59,7.65,8449.98,0.0,8399.3,road_diesel,,6.719,chemicals_general,12563.34,2.2,0.1033,4616.8834,0.0,27639.34,431.1096,34246.0906
954,SYNTHETIC,2,Food Processing,United States,USA,0.386,14.46,1685.8,0.0,4154.4,sea_bulk,2017.7,3.323,glass,4960.81,0.85,0.012,561.5003,0.0,4216.6909,80.4685,4896.5823
1114,SYNTHETIC,2,Plastics Manufacturing,United Kingdom,GBR,0.207,48.24,1158.46,867.57,2112.8,rail_freight,423.8,1.69,plastic_pp,3682.65,1.65,0.028,135.3037,2333.7709,6076.3731,20.0551,8528.6072
1717,SYNTHETIC,3,Construction Materials,South Africa,ZAF,0.89,18.48,2998.79,1482.14,4984.0,sea_bulk,5713.6,3.987,concrete,7389.69,0.13,0.012,2186.7976,3986.9668,960.6599,273.3738,7271.3578
1425,SYNTHETIC,3,Logistics & Freight,Brazil,BRA,0.08,9.14,603.02,,5732.9,sea_container,5561.0,4.586,cardboard,8497.95,0.89,0.016,44.9352,4989.5592,7563.1711,408.0727,13002.9133
1315,SYNTHETIC,2,Logistics & Freight,Mexico,MEX,0.42,,483.04,0.0,4470.1,road_electric,3772.8,3.576,cardboard,6115.69,0.89,0.021,105.9948,0.0,5442.9629,283.3278,5875.1004
1909,SYNTHETIC,3,Chemical Processing,United Kingdom,GBR,0.207,12.63,4337.95,1078.78,2802.1,sea_bulk,564.9,2.242,plastic_pp,4086.82,1.65,0.012,795.506,2901.9221,6743.2463,15.1969,10725.0237
1352,SYNTHETIC,2,Packaging Materials,Japan,JPN,0.47,18.47,2150.09,0.0,4764.6,inland_waterway,535.3,3.812,glass,5916.66,0.85,0.031,831.8628,0.0,5029.162,63.253,5725.6743
1858,SYNTHETIC,3,Packaging Materials,Saudi Arabia,SAU,0.74,9.87,1333.66,0.0,4422.4,sea_container,50.0,3.538,cardboard,4670.61,0.89,0.016,892.1745,0.0,4156.8395,2.8303,5191.8963
1706,SYNTHETIC,3,Steel & Metals,Vietnam,VNM,0.59,14.75,5998.29,987.48,4171.0,air_freight,617.5,3.337,steel,6381.0,1.85,0.602,3034.5456,2656.3139,11804.8474,1240.469,19183.9298
344,SYNTHETIC,1,Renewable Energy Components,United Kingdom,GBR,0.207,12.9,1692.34,0.0,5372.3,road_electric,272.5,4.298,aluminium,7356.45,8.24,0.021,309.4892,0.0,60617.181,24.5931,64756.0226
1987,SYNTHETIC,3,Mining & Raw Materials,United Kingdom,GBR,0.207,22.42,5261.63,211.76,4865.1,sea_bulk,8192.7,3.892,concrete,6003.13,0.13,0.012,868.5341,569.6475,780.4071,382.6391,2404.5408
724,SYNTHETIC,2,Semiconductor Fabrication,Germany,DEU,0.385,45.1,5468.19,0.0,3771.1,rail_freight,1858.1,3.017,chemicals_general,3745.68,2.2,0.028,1205.1182,0.0,8240.5019,156.9615,9780.911
262,SYNTHETIC,1,Pharmaceutical Manufacturing,Turkey,TUR,0.445,38.76,4123.42,0.0,5260.9,road_electric,7318.2,4.209,plastic_pet,5701.59,3.1,0.021,1155.6802,0.0,17674.9425,646.7999,19366.9153
1558,SYNTHETIC,3,Automotive Manufacturing,Australia,AUS,0.66,48.28,2772.46,1361.17,4208.5,sea_bulk,2300.5,3.367,steel,5517.71,1.85,0.012,973.0968,3661.5382,10207.7674,92.944,14751.7793
